hero_id,game_id,total_gold,item_id_1,item_id_2,item_id_3,item_id_4,item_id_5
50,9,14300,115,69,54,59,4
16,9,10500,7,75,58,111,61
66,9,12550,36,94,156,23,40
61,9,39200,10,34,94,119,85
37,10,11712,170,3,171,115,123
105,10,28080,53,116,152,120,102
108,10,13248,94,19,116,157,164
19,10,11568,76,92,150,102,34
3,10,41568,165,48,46,119,41
72,10,28704,166,72,14,163,147
12,10,32352,73,61,65,66,38
94,10,31968,63,130,95,67,10
117,10,24528,76,120,106,143,101
87,10,19200,22,46,13,77,73
93,11,18655,101,113,122,65,130
16,11,6090,53,95,147,146,52
101,11,21420,137,168,119,29,121
115,11,15785,27,71,9,149,75
105,11,20230,25,68,113,115,148
117,11,17885,103,33,109,148,47
97,11,24640,160,91,154,48,140
27,11,23835,147,106,130,86,169
47,11,12320,19,22,54,53,29
25,11,27475,47,16,166,13,43
111,12,22458,94,149,141,113,166
51,12,20520,49,145,26,67,66
10,12,19076,47,169,78,69,140
61,12,30400,165,146,78,162,130
18,12,10298,153,15,54,52,58
21,12,8474,144,74,120,27,8
102,12,9120,54,89,96,64,116
114,12,16074,15,157,46,170,152
119,12,18354,55,4,141,61,114
118,12,24776,127,151,160,22,40
67,13,14040,159,97,154,96,71
66,13,13338,9,57,33,68,170
25,13,43686,118,87,112,85,83
95,13,15768,73,54,145,107,98
51,13,31806,16,24,111,108,39
102,13,20412,15,118,28,124,70
59,13,13608,43,63,163,105,28
5,13,21168,64,53,33,24,155
50,13,13068,111,109,132,114,105
61,13,31374,61,59,152,10,104
60,14,12667,113,42,108,165,92
80,14,17331,12,74,56,155,158
110,14,31164,125,3,77,163,131
28,14,9699,136,7,11,68,161
43,14,18073,162,158,172,90,103
3,14,45898,164,147,119,159,79
16,14,18020,54,70,140,3,154
32,14,23373,56,116,67,26,78
96,14,37259,166,119,64,18,139
73,14,14787,121,18,44,159,102
105,15,16942,75,40,162,117,149
101,15,13029,50,143,80,77,108
99,15,24338,87,146,162,80,91
7,15,23994,49,26,85,50,124
104,15,16555,30,133,126,123,130
51,15,24166,166,75,94,173,91
101,15,23951,102,142,103,58,3
95,15,15179,160,1,141,18,113
109,15,15953,58,2,133,23,53
46,15,24338,45,64,136,161,84
18,16,12870,86,87,47,60,106
38,16,35970,4,39,79,20,92
16,16,18810,142,68,77,140,156
13,16,32945,155,74,72,11,48
45,16,16280,110,79,158,134,14
103,16,36080,91,33,9,119,165
115,16,19635,147,126,114,152,57
21,16,12430,156,33,138,15,167
45,16,27775,141,40,75,116,15
119,16,29040,23,1,86,74,93
93,17,9776,22,166,73,164,128
108,17,7202,160,16,161,19,124
61,17,16354,10,107,90,28,94
13,17,14690,120,132,130,156,71
80,17,8086,85,147,31,103,90
79,17,14976,5,31,137,16,61
41,17,6760,23,39,86,79,137
26,17,10946,142,97,151,86,172
1,17,6578,147,96,166,46,150
110,17,17004,56,107,120,4,64
37,18,10440,60,62,136,58,13
21,18,8932,106,80,2,58,42
104,18,9222,118,148,28,25,27
108,18,6931,65,106,3,137,111
68,18,6032,26,109,138,80,7
3,18,25114,168,102,31,36,90
32,18,13949,150,24,168,148,28
84,18,24534,99,106,104,120,40
103,18,21692,85,153,123,111,137
81,18,4727,72,80,59,104,63
79,19,12627,89,122,33,17,62
91,19,8533,40,22,157,170,79
41,19,4163,63,12,46,30,88
67,19,5566,4,150,172,7,70
72,19,18078,172,49,7,136,146
70,19,9683,128,37,107,135,105
33,19,8832,8,41,51,1,134
51,19,16146,70,139,141,162,58
79,19,11155,121,24,72,14,119
88,19,12374,150,54,44,160,59
4,20,22140,35,168,48,150,80
95,20,11178,120,145,162,83,22
55,20,17469,92,114,129,163,130
98,20,9099,63,46,30,79,24
79,20,18171,51,95,89,75,7
68,20,6750,155,121,13,153,111
3,20,23382,4,59,96,83,125
47,20,9369,87,33,14,88,56
63,20,24408,105,92,129,147,172
75,20,13770,51,15,109,24,91
89,21,33814,2,63,98,7,68
36,21,25636,172,128,92,132,147
63,21,39382,167,158,170,68,19
83,21,20358,119,125,37,129,145
48,21,27144,108,8,40,38,52
118,21,37990,63,34,151,16,11
38,21,37178,76,104,144,67,31
57,21,59740,101,106,60,156,165
13,21,24766,110,149,172,78,7
109,21,21344,113,121,103,37,144
2,22,12160,6,62,40,32,113
114,22,20102,86,65,151,101,24
25,22,32072,41,52,55,112,46
109,22,16226,109,171,21,18,150
55,22,14592,34,48,161,154,117
5,22,16112,21,157,111,95,136
75,22,31540,127,61,97,5,36
55,22,8170,11,12,83,161,129
84,22,30172,133,145,22,171,135
38,22,26828,65,117,153,151,24
4,23,46342,94,35,101,74,36
81,23,8816,152,20,99,149,47
51,23,36656,117,152,3,38,16
43,23,38222,51,163,165,74,30
37,23,20416,18,94,103,111,168
101,23,18560,131,79,47,77,56
84,23,42050,67,33,147,10,123
26,23,45124,65,72,127,84,103
14,23,28594,170,161,91,128,45
84,23,35670,46,112,173,53,52
53,24,9048,21,131,102,13,45
67,24,6840,42,58,61,96,111
35,24,6672,157,32,58,41,2
8,24,13800,124,162,79,18,158
114,24,14016,18,112,51,116,53
25,24,11400,156,142,65,166,74
58,24,9576,92,110,135,162,6
53,24,8592,127,56,54,109,79
91,24,8976,66,92,134,138,103
35,24,6672,130,100,56,53,33
22,25,42693,94,65,83,39,146
28,25,16302,147,112,108,105,52
85,25,13737,54,105,118,2,22
64,25,28044,154,171,95,9,10
74,25,37221,86,35,148,105,45
114,25,23655,90,98,103,146,145
14,25,30666,143,47,130,70,8
33,25,30039,29,162,23,65,139
42,25,33915,156,78,47,77,109
51,25,36195,101,48,58,43,162
49,26,39780,68,109,142,169,122
109,26,25551,106,36,165,89,95
34,26,21828,117,112,15,91,37
15,26,24021,150,86,57,103,152
11,26,21522,20,44,120,49,3
29,26,16320,135,83,143,75,134
107,26,39321,37,22,133,166,173
68,26,9741,11,91,84,159,134
84,26,34221,66,162,114,67,36
11,26,18921,30,168,66,75,118
23,27,34045,22,137,24,101,136
41,27,16555,35,117,40,19,2
12,27,39545,60,137,63,128,56
19,27,20790,136,35,161,134,45
101,27,31295,36,125,105,170,53
6,27,12375,43,141,68,132,148
100,27,43065,130,85,32,56,92
77,27,18810,19,106,1,120,68
59,27,15675,135,67,31,57,61
25,27,29480,141,128,28,91,44
51,28,25764,129,81,21,47,79
70,28,22800,80,6,7,8,43
105,28,20330,23,21,96,53,5
113,28,11476,167,64,80,117,28
35,28,9082,107,15,115,10,116
93,28,18620,60,2,117,19,61
91,28,21090,139,134,87,51,54
111,28,12844,24,126,13,164,154
24,28,11856,70,101,22,2,17
48,28,25878,36,169,52,31,94
71,29,23049,7,10,103,134,136
35,29,12675,2,37,99,126,161
69,29,10413,60,10,36,110,118
32,29,12012,160,3,54,2,79
90,29,17745,28,134,102,33,149
6,29,7995,159,140,156,122,154
100,29,31434,28,125,133,96,31
22,29,15054,86,107,21,160,106
108,29,13416,97,102,157,111,38
74,29,17238,158,160,108,59,39
85,30,12565,5,97,2,15,12
80,30,10640,97,121,110,99,9
14,30,17885,131,51,92,77,135
51,30,22155,73,143,12,96,152
105,30,13580,89,139,154,27,96
67,30,8995,54,17,158,66,149
59,30,12740,101,46,75,41,107
32,30,13405,35,65,46,112,87
27,30,21945,48,25,120,2,7
56,30,19810,38,43,68,164,35
97,31,33516,29,55,158,140,132
103,31,18360,19,156,10,46,100
2,31,11520,142,62,91,67,77
45,31,14616,40,50,47,149,19
82,31,13608,108,129,96,6,19
79,31,19728,136,156,30,134,145
118,31,23544,101,165,78,18,120
113,31,11592,166,140,134,57,160
91,31,19332,74,167,161,38,27
59,31,10476,49,107,32,167,157
118,32,13629,29,105,58,11,169
94,32,14553,13,111,141,3,19
56,32,6825,51,7,23,120,16
37,32,5565,30,117,49,129,79
94,32,6636,14,148,33,96,63
114,32,13650,1,122,125,84,81
28,32,7980,158,168,127,28,112
97,32,18711,45,55,161,33,151
62,32,7455,53,98,111,60,113
24,32,6195,118,150,65,159,111
105,33,27180,1,48,15,49,69
16,33,17235,93,17,120,135,118
30,33,9495,92,137,39,94,148
22,33,30105,53,78,30,85,124
114,33,19935,96,54,1,12,53
108,33,16695,81,39,28,108,11
68,33,9000,140,12,169,36,25
72,33,26010,3,124,53,114,127
95,33,20070,141,125,130,121,60
41,33,7875,125,168,145,138,18
68,34,7560,128,80,65,21,146
35,34,10584,64,127,29,124,159
32,34,8640,142,152,110,45,42
3,34,31176,92,103,42,130,125
75,34,14688,115,104,109,111,136
19,34,8964,71,65,32,169,159
50,34,9612,163,23,5,64,108
21,34,13356,85,166,81,34,66
102,34,7164,110,160,119,112,49
6,34,9072,102,46,10,50,120
62,35,31678,152,84,80,142,151
43,35,16685,87,143,169,154,7
117,35,24017,15,166,63,40,104
86,35,16309,66,110,165,122,49
46,35,28153,73,169,96,126,153
30,35,10810,115,161,10,5,44
27,35,25380,38,28,125,161,5
38,35,32571,16,114,66,22,143
64,35,23124,151,2,122,129,153
90,35,30174,74,110,79,161,105
102,36,5380,61,49,149,26,16
115,36,6900,84,43,107,78,150
43,36,5440,86,49,146,130,13
20,36,6740,94,142,105,115,4
34,36,11620,76,143,164,163,119
61,36,13100,29,9,12,132,100
46,36,7600,70,74,97,117,23
27,36,9360,104,42,171,135,13
57,36,17320,75,110,168,145,154
74,36,9600,88,26,64,111,127
103,37,20264,108,31,120,38,30
111,37,14008,3,36,163,11,160
54,37,16422,147,9,1,48,13
37,37,11220,147,83,3,61,57
116,37,8194,95,24,1,88,168
57,37,26316,132,42,35,107,13
60,37,26860,8,51,70,39,47
116,37,9146,2,170,19,35,67
107,37,23664,151,169,128,173,113
76,37,24718,87,29,122,137,1
99,38,32571,31,74,110,75,15
32,38,16121,167,76,80,143,3
69,38,12549,57,145,131,41,66
117,38,24017,83,118,119,93,102
51,38,31631,69,26,86,6,48
1,38,10293,167,153,172,161,81
24,38,10575,163,162,51,65,117
79,38,31537,8,162,93,50,57
112,38,18518,22,4,114,102,115
44,38,19787,138,112,133,88,163
43,39,7936,78,168,131,35,116
13,39,13857,152,143,118,166,133
52,39,19530,133,25,112,129,10
31,39,19747,117,34,3,15,99
84,39,23095,167,137,55,64,121
100,39,24645,164,115,52,142,46
116,39,7781,133,70,19,89,151
29,39,21328,61,51,20,32,47
16,39,11532,39,29,51,13,12
4,39,28055,127,37,51,124,58
59,40,10920,10,172,17,27,150
27,40,16170,167,48,16,55,53
8,40,11781,168,80,132,27,107
10,40,8526,12,97,64,165,155
14,40,10542,75,131,128,157,88
21,40,5397,67,97,63,144,151
76,40,9660,10,27,90,53,17
110,40,9891,159,143,134,16,20
104,40,6300,80,141,133,68,53
81,40,4536,101,13,114,111,17
113,41,14700,46,12,27,38,58
60,41,30550,142,15,66,160,157
3,41,43300,70,117,39,110,93
74,41,26000,164,73,92,172,9
78,41,25450,149,99,30,107,1
5,41,17450,16,60,139,148,55
2,41,16000,149,97,2,115,18
76,41,26200,23,46,51,62,128
67,41,13300,25,161,51,88,13
14,41,27800,104,116,171,156,71
17,42,25840,28,69,79,3,81
34,42,27914,83,102,59,87,30
25,42,17884,48,73,160,143,138
69,42,9078,84,52,74,43,57
59,42,17204,158,12,42,52,156
61,42,21998,69,19,2,110,80
91,42,23528,162,25,30,26,112
87,42,10778,87,59,48,60,165
9,42,14926,19,87,47,107,22
79,42,20400,27,25,30,170,92
50,43,13750,81,136,78,10,65
29,43,34750,144,51,101,16,161
13,43,25050,10,116,127,139,80
44,43,27600,98,36,87,55,10
94,43,15650,10,155,148,105,113
80,43,13250,97,20,112,168,124
69,43,13350,121,47,35,140,62
65,43,22600,1,14,159,130,100
38,43,33500,139,166,84,28,80
7,43,17200,159,25,137,63,140
109,44,16095,126,46,116,109,154
43,44,23643,93,158,47,147,33
56,44,15281,56,82,146,119,143
111,44,15503,137,71,22,102,61
37,44,8066,26,59,6,77,121
102,44,6216,108,123,75,127,162
99,44,20831,79,24,20,159,33
65,44,16317,83,76,67,88,29
84,44,29970,110,72,90,16,172
49,44,32967,50,131,71,138,102
45,45,21060,32,81,146,119,63
43,45,36936,35,65,40,97,138
113,45,14742,64,131,70,12,77
58,45,21546,68,94,70,2,65
82,45,20898,99,6,67,45,29
31,45,24678,108,158,166,137,153
108,45,20682,52,43,142,123,155
50,45,17928,23,46,53,132,31
62,45,36558,107,75,8,86,21
22,45,32940,109,26,86,50,113
89,46,25965,86,3,105,94,17
12,46,31185,77,90,144,19,54
64,46,22140,58,52,77,121,76
11,46,14850,105,4,15,163,125
33,46,25245,15,124,126,113,104
3,46,38970,66,117,108,101,153
71,46,29475,137,115,10,120,123
116,46,11025,68,120,122,161,34
114,46,30870,129,52,17,7,164
97,46,42750,55,153,90,103,92
66,47,10488,68,63,110,134,86
82,47,16606,12,104,11,54,76
115,47,19182,156,133,145,160,22
17,47,34960,168,99,160,137,166
78,47,21574,135,170,99,151,157
40,47,12972,73,127,61,1,29
5,47,14444,2,123,78,44,13
68,47,9292,13,53,163,109,129
113,47,11086,60,54,94,90,133
9,47,28060,19,137,111,29,118
3,48,19918,57,139,107,148,27
97,48,20884,7,145,30,16,19
48,48,15755,157,152,172,24,21
36,48,5957,74,154,135,26,173
96,48,18768,2,7,157,32,83
89,48,4968,122,120,118,27,132
22,48,10373,45,50,23,6,14
13,48,8556,69,120,152,163,134
88,48,14628,160,38,93,157,91
20,48,11316,31,151,50,82,12
58,49,15960,137,123,34,86,148
117,49,20440,93,85,97,32,88
78,49,17520,147,20,132,13,16
86,49,11160,42,77,43,78,100
44,49,22200,86,93,41,49,82
36,49,17720,70,127,78,3,145
83,49,14760,18,134,11,145,147
62,49,41280,70,122,121,66,103
6,49,8240,163,70,161,118,13
52,49,25600,53,156,39,157,49
80,50,7326,146,102,117,145,169
63,50,16797,129,5,44,98,116
25,50,27489,135,86,139,3,2
43,50,15510,28,66,150,47,102
36,50,7458,86,118,29,161,167
53,50,21846,32,173,135,1,75
107,50,24354,94,50,161,21,56
98,50,9735,121,93,25,81,3
92,50,11055,73,27,46,61,75
63,50,32340,154,27,113,15,86
111,51,18522,66,41,51,34,71
67,51,11676,141,115,134,53,131
105,51,24444,52,6,116,160,90
97,51,42672,140,102,19,123,171
61,51,34272,120,64,61,69,4
21,51,13776,150,172,7,167,34
74,51,14154,158,94,121,10,64
59,51,14322,117,77,96,3,112
67,51,11844,7,77,122,147,57
63,51,26628,84,129,52,95,63
5,52,20440,51,38,105,29,110
82,52,14360,116,84,145,108,47
46,52,35400,154,110,138,62,81
115,52,8040,6,91,170,32,97
24,52,13400,105,84,116,26,24
77,52,15240,6,125,17,11,30
84,52,30320,111,127,117,101,151
19,52,17120,153,136,84,68,91
118,52,26160,87,58,120,11,78
33,52,21040,141,94,53,44,67
82,53,19920,128,156,159,152,129
86,53,13536,60,173,150,123,17
73,53,19584,138,128,66,108,100
65,53,29904,103,20,110,104,19
47,53,10752,73,106,75,22,86
51,53,27600,1,112,116,78,5
90,53,38496,163,162,161,99,33
55,53,21360,137,24,74,17,166
35,53,12912,43,8,136,45,155
24,53,16368,36,68,2,171,37
115,54,6897,33,20,86,38,70
68,54,6369,102,52,145,64,42
38,54,21054,153,158,15,112,137
30,54,7161,143,57,4,36,82
80,54,5577,46,37,128,44,93
5,54,11715,37,15,28,109,33
35,54,9438,68,2,152,39,122
80,54,10857,108,116,34,83,17
16,54,12573,119,49,3,83,154
90,54,25971,166,143,6,40,27
116,55,11160,149,165,114,161,159
47,55,11790,91,159,119,81,20
39,55,23085,129,69,131,153,162
62,55,10980,153,103,155,115,81
96,55,40815,31,51,138,67,20
32,55,15165,67,85,130,65,111
52,55,30780,98,105,42,9,55
50,55,15840,19,104,78,138,117
3,55,38970,105,121,147,122,152
10,55,10260,123,155,141,36,121
7,56,19926,98,11,9,73,88
36,56,18409,95,155,31,170,96
116,56,10988,162,66,47,106,18
83,56,12792,160,119,69,109,172
42,56,24395,153,58,96,93,70
11,56,12997,165,124,69,135,23
106,56,12546,123,153,47,68,136
98,56,13079,77,131,164,163,26
38,56,26650,39,131,166,27,49
68,56,8241,164,127,64,170,89
69,57,12282,6,68,22,54,37
96,57,33948,91,81,9,93,65
116,57,11362,132,25,122,76,67
73,57,16560,94,136,27,112,22
100,57,31970,77,36,65,129,72
96,57,36156,58,72,151,77,154
108,57,11546,18,119,94,99,15
23,57,28060,101,122,34,152,62
31,57,38410,94,15,153,25,132
47,57,17756,43,62,131,90,135
114,58,30128,109,80,51,24,20
15,58,37352,93,48,141,152,130
74,58,26208,76,55,80,18,146
53,58,41832,153,103,96,146,163
11,58,18200,111,72,152,94,109
55,58,24136,145,68,123,138,110
47,58,17976,131,72,48,149,58
17,58,42560,86,40,115,125,117
107,58,29064,120,153,117,152,122
110,58,23912,84,37,14,95,62
57,59,29316,172,105,58,29,157
38,59,19236,158,88,40,95,117
7,59,8988,26,60,21,50,61
33,59,10696,61,109,89,104,123
87,59,10388,77,13,151,163,137
32,59,9044,142,30,63,59,112
76,59,17276,142,98,130,126,36
20,59,9408,149,94,25,109,62
112,59,11676,117,134,39,122,140
103,59,17808,86,68,138,164,126
7,60,24066,167,150,77,49,165
25,60,21168,69,58,108,137,16
67,60,10122,96,131,3,60,135
90,60,25914,125,51,88,162,122
73,60,12768,70,43,100,137,13
114,60,26166,86,81,29,20,154
2,60,13440,46,116,36,67,97
34,60,22260,120,1,57,47,12
112,60,22344,25,112,9,33,124
23,60,30240,40,104,155,37,68
92,61,12247,93,53,33,1,18
9,61,18574,46,19,144,72,124
5,61,19277,21,111,149,102,24
76,61,19869,98,46,156,153,117
23,61,16465,139,71,146,47,130
53,61,24605,112,40,39,4,55
71,61,27639,138,46,173,3,169
119,61,19647,169,26,128,166,47
66,61,9102,88,164,170,113,149
94,61,13949,56,84,41,158,100
62,62,14716,122,79,144,80,2
26,62,39936,130,66,5,164,101
37,62,18980,59,73,171,91,46
49,62,45708,63,140,89,112,50
20,62,17108,117,146,118,153,51
41,62,15756,103,87,125,93,26
8,62,29744,62,115,85,171,135
97,62,44044,151,102,34,105,43
32,62,22048,141,10,1,37,68
81,62,12012,169,60,26,2,64
94,63,17860,152,66,51,60,1
31,63,17766,36,118,62,89,106
72,63,35438,75,61,44,53,169
33,63,18706,155,65,171,134,2
9,63,33417,136,68,171,53,58
25,63,25944,163,146,14,98,81
71,63,33041,43,129,152,116,8
113,63,13912,41,116,18,112,83
101,63,25474,95,61,172,131,42
8,63,15792,116,35,148,7,44
74,64,18073,148,24,100,55,173
58,64,21147,137,111,106,162,100
69,64,14151,75,173,85,80,3
81,64,22260,87,131,72,34,147
105,64,21518,163,44,94,111,81
89,64,12985,64,19,92,150,79
69,64,14151,35,58,106,160,48
105,64,26288,125,46,9,77,26
96,64,42612,119,57,59,148,39
99,64,35086,71,19,153,66,146
99,65,34153,122,16,96,79,90
106,65,14014,46,1,58,146,16
114,65,22736,87,93,17,147,77
112,65,23079,31,46,74,99,48
89,65,18081,25,93,156,152,139
80,65,8379,158,122,161,59,69
49,65,40474,19,79,127,107,65
70,65,28224,19,69,150,113,148
10,65,13769,133,136,112,142,103
60,65,16317,70,75,156,169,110
77,66,19706,127,144,159,17,73
55,66,36993,172,149,106,67,170
7,66,27612,52,136,5,20,89
35,66,13688,169,22,4,23,28
109,66,28615,134,153,165,86,85
94,66,20355,10,64,60,154,83
88,66,23954,78,75,150,51,7
64,66,29028,163,164,2,165,103
100,66,36816,118,132,157,112,90
3,66,51094,41,83,44,141,147
33,67,14541,170,135,6,124,49
62,67,36963,163,26,121,134,139
102,67,8510,168,166,160,15,171
112,67,14134,53,59,149,137,138
117,67,18907,100,161,24,108,1
94,67,24568,13,172,139,64,67
77,67,13801,86,94,109,33,77
33,67,13838,93,131,15,23,115
86,67,7437,136,73,172,65,62
48,67,18352,131,147,112,24,61
59,68,13862,35,50,64,130,109
89,68,8642,83,89,158,32,1
38,68,18879,105,115,84,168,68
25,68,22562,131,71,129,94,88
13,68,15950,105,167,54,37,52
24,68,9222,46,57,43,13,93
103,68,20416,42,28,62,8,57
9,68,16878,6,47,141,151,112
89,68,13224,14,75,170,90,118
81,68,13456,76,95,47,64,125
77,69,18645,14,65,22,54,77
20,69,18095,54,115,73,111,146
16,69,12815,86,124,136,109,5
81,69,14355,103,61,152,32,42
64,69,27060,137,131,101,66,33
73,69,17270,142,171,155,35,29
9,69,25465,30,161,3,14,145
107,69,29205,46,123,139,62,88
68,69,11055,23,110,36,140,21
116,69,14300,24,58,78,147,49
74,70,14952,78,121,28,91,90
44,70,28140,127,116,76,26,58
39,70,35448,59,4,42,170,70
10,70,17136,170,90,122,136,94
82,70,15708,18,98,109,162,96
12,70,31836,146,138,2,102,33
4,70,31584,147,165,161,87,146
21,70,9072,8,146,121,110,73
65,70,22050,128,164,60,135,3
101,70,18984,63,9,122,47,7
101,71,12685,100,19,25,75,87
96,71,33454,112,121,156,91,35
51,71,26746,138,171,116,26,49
49,71,25929,82,55,65,10,89
96,71,38657,65,134,17,125,39
36,71,11954,44,103,59,104,96
90,71,18877,3,28,137,167,161
22,71,22188,151,107,75,132,173
65,71,26703,142,10,150,32,5
85,71,9761,25,77,153,65,14
116,72,7020,162,56,16,22,137
65,72,15340,27,152,52,83,85
22,72,9594,12,171,77,172,130
17,72,19760,100,46,173,6,166
63,72,17758,149,127,39,99,162
41,72,5174,82,162,66,105,93
25,72,12844,135,49,58,95,83
33,72,14404,111,148,100,102,95
30,72,5512,13,99,123,19,117
38,72,16614,20,60,165,6,68
2,73,15040,120,108,145,86,47
77,73,17907,42,14,98,111,107
114,73,22043,64,116,121,143,165
95,73,11045,50,54,106,144,96
47,73,14194,76,144,47,119,79
51,73,24017,81,166,16,2,170
57,73,29375,25,33,137,56,61
55,73,29798,72,93,157,133,7
83,73,13207,137,73,25,58,100
80,73,15134,113,79,38,118,82
5,74,20313,24,86,166,136,32
110,74,16317,15,2,37,17,104
9,74,22422,59,172,127,89,78
73,74,11137,37,80,87,99,44
55,74,16354,101,161,76,72,35
71,74,21941,119,19,86,61,4
110,74,21016,131,79,148,3,12
61,74,27306,141,82,150,142,40
85,74,11137,125,4,55,43,99
24,74,6290,128,133,143,20,150
119,75,27416,112,36,60,160,100
84,75,35144,37,157,93,39,88
111,75,23828,103,26,135,98,84
115,75,24978,12,144,168,160,86
2,75,14720,57,34,7,58,92
61,75,38226,97,33,15,58,7
111,75,21436,33,3,158,76,58
13,75,22126,10,99,3,129,116
111,75,21252,105,35,29,25,94
15,75,31556,132,5,34,172,4
79,76,13494,19,39,42,26,147
18,76,11284,63,156,120,3,157
43,76,11882,7,56,97,52,1
110,76,16510,168,68,139,58,169
79,76,19396,100,24,153,125,85
22,76,7384,158,69,37,170,140
17,76,19760,44,24,26,92,87
70,76,17680,104,171,144,44,149
116,76,6760,169,8,92,109,124
42,76,15470,151,17,3,86,133
111,77,31304,44,26,17,110,40
96,77,28168,66,128,36,152,45
6,77,12656,139,131,125,5,167
70,77,40656,22,10,29,110,67
46,77,45472,56,123,31,38,145
96,77,28616,21,2,24,113,29
118,77,36568,73,31,98,111,144
44,77,27832,9,90,166,12,47
77,77,19488,132,41,8,116,58
17,77,42560,61,110,144,163,105
44,78,17822,25,61,140,111,78
88,78,22952,47,133,135,166,67
40,78,9044,69,67,76,108,123
5,78,19912,100,155,125,82,120
117,78,19418,158,61,91,146,11
77,78,12046,132,106,8,16,67
103,78,17784,111,53,2,120,83
48,78,22002,119,19,142,134,144
114,78,16264,4,111,3,167,36
100,78,26106,24,156,115,170,71
6,79,6318,157,59,149,127,116
17,79,19760,104,158,79,38,20
23,79,16016,154,103,58,37,148
26,79,19110,69,121,59,137,26
36,79,15886,1,123,133,61,102
116,79,6786,148,36,19,95,105
66,79,5746,16,5,95,63,50
61,79,16250,15,166,55,127,140
15,79,12402,9,149,2,139,20
113,79,8788,108,12,7,157,141
68,80,6060,3,104,57,12,55
67,80,8070,39,100,127,50,105
18,80,11340,80,82,157,41,90
118,80,19560,165,104,50,1,27
57,80,28650,21,86,103,20,19
31,80,28050,10,28,155,30,150
31,80,22830,6,93,79,30,77
24,80,7080,70,67,113,169,156
38,80,20100,10,94,115,149,35
110,80,16260,116,173,72,120,142
34,81,32396,158,83,149,9,102
37,81,21008,19,117,51,96,111
81,81,13884,136,41,139,80,62
103,81,30004,3,7,57,123,104
40,81,14144,62,166,54,87,140
54,81,24856,77,119,158,39,73
81,81,23088,38,171,77,48,82
79,81,30992,5,135,122,106,120
107,81,26364,127,122,102,23,163
69,81,13884,88,12,115,99,8
91,82,29755,100,77,63,10,89
90,82,30800,164,163,64,111,157
63,82,48290,137,127,161,53,67
14,82,16940,115,85,3,149,135
112,82,22770,169,128,105,33,49
75,82,25905,109,31,21,53,81
10,82,11275,17,56,122,79,167
47,82,19470,168,109,132,28,11
