"Match","Hero","Player","Result","Kills","Deaths","Assists","KDA","GPM","XPM","Last Hits","Denies","LVL","HD","TD","HH","GS","End Game Items"
"7006232412","Death Prophet","ButterflyEffect","Loss","7","4","10","4.25","547","736","334","13","25","23142","3733","110","25110","Blink Dagger Scythe of Vyse Heaven's Halberd Black King Bar Power Treads Platemail"
"7006232412","Dawnbreaker","Stariff","Loss","2","7","14","2.29","284","370","58","1","17","9314","0","5518","12205","Force Staff Boots of Speed Sentry Ward Holy Locket Vladmir's Offering Dust of Appearance"
"7006232412","Tusk",".","Loss","0","11","15","1.36","262","480","65","1","20","9171","69","0","10590","Sentry Ward Blink Dagger Force Staff Boots of Travel Phase Boots Smoke of Deceit"
"7006232412","Timbersaw","Csj","Loss","4","8","11","1.88","463","606","277","4","22","23907","1670","7495","20765","Kaya and Sange Blink Dagger Lotus Orb Sentry Ward Guardian Greaves Hood of Defiance"
"7006232412","Treant Protector","起风 了","Win","1","2","23","12.00","365","544","60","6","21","13293","71","5079","12235","Blink Dagger Lotus Orb Gem of True Sight Magic Stick Boots of Speed Observer and Sentry Wards"
"7006232412","Primal Beast","Blood","Win","11","5","18","5.80","562","730","277","2","24","33363","543","0","20715","Shiva's Guard Scythe of Vyse Blink Dagger Black King Bar Phase Boots Gem of True Sight"
"7006232412","Nature's Prophet","Srf","Win","4","6","18","3.67","699","777","435","15","26","28083","12572","0","29135","Scythe of Vyse Gleipnir Black King Bar Power Treads Assault Cuirass"
"7006140577","Tiny","Blood","Win","3","4","8","2.75","470","598","203","13","18","13588","2018","0","12665","Magic Wand Echo Sabre Blink Dagger Black King Bar Boots of Speed Point Booster"
"7006140577","Lich","起风 了","Win","1","1","16","17.00","258","434","29","0","16","4672","51","0","7440","Boots of Speed Glimmer Cape Sentry Ward Magic Wand"
"7006140577","Templar Assassin","Xm","Win","10","0","4","-","861","1029","454","20","24","20834","9046","0","26005","Dragon Lance Desolator Swift Blink Black King Bar Aegis of the Immortal Daedalus"
"7006140577","Keeper of the Light",".","Loss","3","9","3","0.67","243","360","63","0","14","10697","0","3951","7775","Mekansm Boots of Speed Force Staff Smoke of Deceit"
"7006140577","Death Prophet","Srf","Win","9","0","13","-","565","679","211","11","20","16099","3721","2906","16715","Blink Dagger Magic Wand Guardian Greaves Black King Bar Heaven's Halberd Wind Lace"
"7006140577","Tusk","Yds.","Win","4","2","12","8.00","309","502","61","4","17","9733","205","0","9635","Blink Dagger Magic Wand Phase Boots Eul's Scepter of Divinity Dust of Appearance"
"7006140577","Treant Protector","Stariff","Loss","0","7","4","0.57","166","241","28","3","11","5351","0","1464","4845","Boots of Speed Observer and Sentry Wards Blink Dagger Magic Stick Smoke of Deceit"
"7006140577","Puck","ButterflyEffect","Loss","1","2","3","2.00","484","554","250","15","18","10806","1082","81","15160","Blink Dagger Kaya and Sange Magic Wand Eul's Scepter of Divinity Power Treads Witch Blade"
"7006140577","Pangolier","Csj","Loss","1","4","5","1.50","376","427","176","4","15","10907","209","8","12615","Spirit Vessel Blink Dagger Magic Wand Vladmir's Offering Boots of Speed Orb of Corrosion"
"7006140577","Shadow Fiend","Andy","Loss","2","5","2","0.80","588","650","352","16","19","9982","0","0","16885","Black King Bar Mask of Madness Power Treads Daedalus Falcon Blade Dragon Lance"
"7006065824","Treant Protector","Tz.","Win","0","5","14","2.80","283","490","79","3","20","6325","0","8786","10250","Magic Stick Blink Dagger Headdress Wraith Pact Boots of Speed"
"7006065824","Rubick","JNova","Loss","1","10","10","1.10","238","379","58","3","17","11178","89","0","7535","Arcane Boots Wind Lace Force Staff Blink Dagger Magic Stick Dust of Appearance"
"7006065824","Viper","AbCdE.","Loss","6","5","4","2.00","466","533","304","22","21","22882","1073","220","18505","Hurricane Pike Ultimate Orb Blink Dagger Black King Bar Yasha Power Treads"
"7006065824","Riki","三无marblue","Win","4","6","18","3.67","260","533","15","1","21","9550","0","0","9405","Blink Dagger Sentry Ward Magic Stick Dust of Appearance Boots of Speed Aether Lens"
"7006065824","Death Prophet","TangJiang","Win","9","3","10","6.33","579","690","281","9","23","18870","4776","4139","20230","Heaven's Halberd Black King Bar Blink Dagger Guardian Greaves Lotus Orb Gem of True Sight"
"7006065824","Pangolier","YRG","Win","4","2","21","12.50","577","781","301","5","25","18951","2203","0","22575","Blink Dagger Boots of Speed Diffusal Blade Aeon Disk Skull Basher Shiva's Guard"
"7006065824","Centaur Warrunner","Meliodas","Loss","2","4","12","3.50","476","627","312","16","22","17726","908","0","20390","Blink Dagger Boots of Speed Lotus Orb Gem of True Sight Pipe of Insight Scythe of Vyse"
"7006065824","Shadow Fiend","L'enfer, c'est les autres","Loss","5","2","3","4.00","572","661","419","13","23","19463","3280","0","25555","Blink Dagger Satanic Hurricane Pike Black King Bar Silver Edge Power Treads"
"7006065824","Spectre","mode：Ame","Win","11","1","15","26.00","755","846","448","3","27","52955","11723","0","32790","Power Treads Eye of Skadi Manta Style Aghanim's Scepter Butterfly Black King Bar"
"7006065824","Warlock","Gaska","Loss","3","8","7","1.25","242","308","44","9","15","9458","514","8948","10400","Observer Ward Dust of Appearance Magic Wand Guardian Greaves Fluffy Hat Ring of Basilius"
"7006012174","Riki","JNova","Loss","1","14","23","1.71","245","384","45","5","16","6723","78","0","6405","Arcane Boots Magic Wand Force Staff Orb of Venom"
"7006012174","Death Prophet","Meliodas","Loss","6","9","10","1.78","456","520","196","3","19","25508","1518","6451","14180","Blink Dagger Guardian Greaves Wraith Band Platemail Black King Bar Magic Wand"
"7006012174","Lina","mode：Ame","Win","24","1","15","39.00","889","1012","435","19","27","52101","16040","0","30275","Gleipnir Satanic Boots of Travel Monkey King Bar  Eye of Skadi Black King Bar"
"7006012174","Beastmaster","TangJiang","Win","5","5","22","5.40","463","651","193","6","21","16878","3609","3590","15395","Magic Stick Quelling Blade Blink Dagger Boots of Speed Octarine Core Helm of the Overlord"
"7006012174","Snapfire","三无marblue","Win","6","5","26","6.40","363","501","67","0","18","25312","781","0","11730","Ghost Scepter Force Staff Lotus Orb Magic Stick Boots of Speed"
"7006012174","Undying","Gaska","Loss","2","10","16","1.80","267","352","35","3","15","6891","117","3900","8755","Magic Wand Force Staff Ghost Scepter Healing Salve Tranquil Boots Smoke of Deceit"
"7006012174","Clockwerk","Tz.","Win","2","10","28","3.00","313","476","34","12","18","13135","159","0","10175","Sentry Ward Force Staff Dust of Appearance Magic Wand Ghost Scepter Tranquil Boots"
"7006012174","Mars","YRG","Win","5","5","32","7.40","475","680","190","15","22","29371","680","110","15365","Phase Boots Blink Dagger Bottle Aether Lens Gem of True Sight Black King Bar"
"7006012174","Dragon Knight","AbCdE.","Loss","5","6","12","2.83","535","649","278","15","21","22189","2574","0","19595","Manta Style Power Treads Blink Dagger Black King Bar Bracer Aghanim's Scepter"
"7006012174","Drow Ranger","L'enfer, c'est les autres","Loss","12","5","10","4.40","587","745","288","21","23","29184","5393","0","20800","Power Treads Silver Edge Hurricane Pike Black King Bar Demon Edge Wraith Band"
"7005939892","Ember Spirit","YRG","Loss","4","8","22","3.25","663","718","494","13","27","48018","534","0","35085","Phase Boots Gleipnir Refresher Orb Linken's Sphere Kaya and Sange Black King Bar"
"7005939892","Death Prophet","TangJiang","Loss","8","7","19","3.86","497","712","286","19","26","33507","4128","12413","25185","Force Staff Scythe of Vyse  Lotus Orb Guardian Greaves Shiva's Guard Cheese"
"7005939892","Keeper of the Light","AbCdE.","Win","11","4","24","8.75","629","634","484","3","27","59932","370","29617","31115","Force Staff Scythe of Vyse Dagon Black King Bar Boots of Travel Octarine Core"
"7005939892","Disruptor","Gaska","Win","5","5","25","6.00","258","466","24","4","23","19631","59","0","11060","Glimmer Cape Force Staff Gem of True Sight Wind Lace Boots of Speed"
"7005939892","Naga Siren","L'enfer, c'est les autres","Win","10","4","8","4.50","872","564","910","3","26","35231","3971","0","41390","Swift Blink Manta Style Bloodthorn Assault Cuirass Heart of Tarrasque Eye of Skadi"
"7005939892","Rubick","JNova","Win","8","11","26","3.09","365","564","134","3","26","34569","0","0","17050","Boots of Travel Glimmer Cape Force Staff Blink Dagger Observer Ward Aether Lens"
"7005939892","Doom","Meliodas","Win","6","13","26","2.46","647","671","274","9","28","53504","1212","0","32640","Blink Dagger Black King Bar Octarine Core Boots of Travel 2 Refresher Orb Hand of Midas"
"7005939892","Drow Ranger","mode：Ame","Loss","18","4","17","8.75","761","779","556","27","30","75888","14161","0","42380","Swift Blink Hurricane Pike Manta Style Linken's Sphere Silver Edge Black King Bar"
"7005939892","Tusk","Tz.","Loss","2","14","24","1.86","281","482","33","1","23","13983","22","0","13670","Eul's Scepter of Divinity Blink Dagger Sentry Ward Aeon Disk Bottle Tranquil Boots"
"7005939892","Snapfire","三无marblue","Loss","5","9","15","2.22","410","517","127","3","24","22980","936","0","24670","Force Staff Lotus Orb Linken's Sphere Smoke of Deceit Octarine Core Boots of Speed"
"7005757890","Lifestealer","Liquid.Miracle","Loss","0","6","4","0.67","457","511","167","8","15","2531","719","0","10625","Sange Gauntlets of Strength Quelling Blade Phase Boots Armlet of Mordiggian Hand of Midas"
"7005757890","Invoker","Destroyer","Win","10","2","16","13.00","695","744","204","21","19","23526","4873","0","16330","Magic Wand Ultimate Orb Black King Bar Boots of Travel Hand of Midas Blink Dagger"
"7005757890","Techies","yarin","Win","11","4","14","6.25","410","539","54","4","16","17037","738","0","8620","Aether Lens Force Staff Magic Wand Boots of Speed Sentry Ward Smoke of Deceit"
"7005757890","Templar Assassin","Yuma","Win","8","1","11","19.00","785","849","301","13","20","19852","14081","0","18245","Hurricane Pike Blink Dagger Daedalus Desolator Power Treads"
"7005757890","Snapfire","Moonlight","Loss","3","10","6","0.90","292","381","67","3","13","15289","162","730","6940","Arcane Boots Mekansm Magic Wand Dust of Appearance Quelling Blade Smoke of Deceit"
"7005757890","Clockwerk","Aretes","Loss","0","6","4","0.67","205","320","21","6","12","7439","0","0","5555","Force Staff Dust of Appearance Observer and Sentry Wards Magic Stick Ring of Protection Tranquil Boots"
"7005757890","Marci","SkywardIV","Loss","5","5","4","1.80","418","428","130","5","14","10519","686","73","11205","Wraith Band Phase Boots Armlet of Mordiggian Black King Bar Wraith Band Wraith Band"
"7005757890","Pangolier","Nvk-","Loss","4","9","3","0.78","368","409","124","4","13","10254","0","0","7800","Magic Wand Bottle Diffusal Blade Orb of Corrosion Arcane Boots"
"7005757890","Treant Protector","Bloody Nine","Win","3","3","23","8.67","306","461","21","2","14","8465","113","4304","7765","Arcane Boots Wind Lace Ring of Protection Force Staff Magic Wand Sentry Ward"
"7005757890","Tusk","talianoG","Win","4","3","22","8.67","399","478","82","15","15","15447","903","3494","11065","Fluffy Hat Guardian Greaves Blink Dagger Magic Wand Wraith Band Wind Lace"
"7005726986","Ember Spirit","Destroyer","Win","12","3","14","8.67","521","765","104","24","17","23096","527","0","11260","Orb of Corrosion Maelstrom Bottle Magic Wand Ogre Axe Phase Boots"
"7005726986","Pangolier","Nvk-","Loss","5","7","3","1.14","438","493","189","1","13","14392","0","0","7285","Magic Stick Bottle Diffusal Blade Quelling Blade Blight Stone Arcane Boots"
"7005726986","Silencer","yarin","Win","8","4","13","5.25","306","425","19","2","12","10101","0","0","6860","Sentry Ward Force Staff Aether Lens Boots of Speed Magic Wand"
"7005726986","Broodmother","talianoG","Win","4","2","8","6.00","476","557","134","16","14","8397","4385","2360","9290","Guardian Greaves Soul Ring Point Booster Orb of Corrosion Wraith Band Wind Lace"
"7005726986","Clockwerk","Bloody Nine","Win","4","3","24","9.33","274","384","17","10","11","11811","0","240","6220","Tranquil Boots Urn of Shadows Observer and Sentry Wards Magic Wand Vitality Booster Smoke of Deceit"
"7005726986","Spirit Breaker","Moonlight","Loss","0","10","9","0.90","187","272","18","3","9","4666","0","0","3855","Wind Lace Phase Boots Magic Stick Clarity Shadow Amulet"
"7005726986","Bloodseeker","Liquid.Miracle","Loss","2","7","6","1.14","391","379","113","10","11","6959","0","0","6860","Slippers of Agility Slippers of Agility Yasha Phase Boots Iron Branch Maelstrom"
"7005726986","Rubick","Aretes","Loss","1","9","9","1.11","240","310","19","2","10","11792","0","0","4900","Observer and Sentry Wards Force Staff Magic Wand Enchanted Mango Boots of Speed"
"7005726986","Dark Seer","SkywardIV","Loss","4","7","6","1.43","384","434","90","1","12","11084","0","1921","7425","Cloak Guardian Greaves Quelling Blade Null Talisman Null Talisman Ring of Regen"
"7005726986","Queen of Pain","Yuma","Win","11","1","7","18.00","593","683","149","29","16","14041","717","0","12155","Power Treads Falcon Blade Kaya Witch Blade Perseverance Ultimate Orb"
"7005680164","Legion Commander","Fayde","Win","9","4","9","4.50","524","784","209","25","24","24022","1791","2290","20575","Black King Bar Phase Boots Blade Mail Blink Dagger Assault Cuirass"
"7005680164","Templar Assassin","tae","Win","9","2","8","8.50","688","833","371","10","25","30741","12571","0","24735","Aegis of the Immortal Daedalus Power Treads Black King Bar Swift Blink Desolator"
"7005680164","Phantom Lancer","BSJ","Loss","3","2","3","3.00","634","704","483","2","23","17520","1360","0","24710","Power Treads Manta Style Octarine Core Diffusal Blade Heart of Tarrasque Shadow Blade"
"7005680164","Rubick","Newsham","Loss","2","5","12","2.80","316","503","124","6","19","11278","546","8370","11495","Quelling Blade Null Talisman Guardian Greaves Force Staff Dust of Appearance"
"7005680164","Tiny","IAnnihilate","Loss","9","4","9","4.50","559","729","339","15","23","24913","687","0","19790","Blink Dagger Platemail Daedalus Phase Boots Aghanim's Scepter Echo Sabre"
"7005680164","Keeper of the Light","SoNiC","Loss","0","10","8","0.80","286","335","133","0","15","8027","12","1104","8745","Enchanted Mango Quelling Blade Boots of Speed Orchid Malevolence Observer and Sentry Wards Wind Lace"
"7005680164","Disruptor","卧龙凤雏不可兼得","Win","1","6","17","3.00","276","580","28","0","21","11858","559","0","9415","Magic Wand Blink Dagger Arcane Boots Glimmer Cape Sentry Ward Gem of True Sight"
"7005680164","Timbersaw","Jenkins","Loss","6","5","6","2.40","516","717","330","3","23","14034","631","0","21610","Boots of Speed Soul Ring Eul's Scepter of Divinity Lotus Orb Heaven's Halberd Ethereal Blade"
"7005680164","Treant Protector","Shoe","Win","0","4","12","3.00","278","498","73","2","19","11666","292","3640","7055","Blink Dagger Tranquil Boots Magic Wand Drum of Endurance Clarity Observer and Sentry Wards"
"7005680164","Nature's Prophet","Berna","Win","7","4","10","4.25","867","862","549","12","25","27425","10486","0","27505","Bloodthorn Gleipnir Silver Edge Power Treads Black King Bar Hand of Midas"
"7005642114","Chaos Knight","Berna","Loss","16","6","11","4.50","678","960","400","6","27","49848","12310","0","28495","Bloodthorn Overwhelming Blink Armlet of Mordiggian Power Treads Black King Bar Heart of Tarrasque"
"7005642114","Shadow Demon","Shoe","Loss","5","5","23","5.60","365","487","72","2","21","26476","919","0","12415","Blink Dagger Aeon Disk Smoke of Deceit Observer and Sentry Wards Tranquil Boots Aether Lens"
"7005642114","Pangolier","tae","Loss","5","7","17","3.14","477","672","269","9","24","29081","1905","110","19810","Aeon Disk Boots of Speed Scythe of Vyse Diffusal Blade Blink Dagger Eul's Scepter of Divinity"
"7005642114","Clockwerk","卧龙凤雏不可兼得","Loss","5","11","28","3.00","343","529","69","23","22","30815","659","0","12185","Magic Wand Aghanim's Scepter Force Staff Tranquil Boots"
"7005642114","Axe","Fayde","Loss","13","10","10","2.30","579","926","353","10","26","44131","726","0","24110","Aeon Disk Boots of Travel 2 Octarine Core Blade Mail Blink Dagger Shadow Blade"
"7005642114","Magnus","Jenkins","Win","5","9","29","3.78","418","702","159","11","25","15052","907","8738","16165","Guardian Greaves Blink Dagger Gem of True Sight Magic Wand Gem of True Sight Force Staff"
"7005642114","Faceless Void","BSJ","Win","14","5","21","7.00","727","780","427","6","28","47009","14295","0","27330","Power Treads Aghanim's Scepter Sange and Yasha Mjollnir Satanic Linken's Sphere"
"7005642114","Disruptor","SoNiC","Win","3","14","25","2.00","352","496","65","0","21","17234","0","0","10630","Boots of Speed Blink Dagger Aghanim's Scepter Wind Lace"
"7005642114","Outworld Devourer","IAnnihilate","Win","14","9","14","3.11","701","822","330","23","28","50653","1291","0","27885","Blink Dagger Octarine Core Aeon Disk Boots of Travel Aghanim's Scepter Refresher Orb"
"7005642114","Rubick","Newsham","Win","1","7","31","4.57","388","690","118","9","24","22139","335","0","11875","Aether Lens Magic Wand Boots of Speed Blink Dagger Force Staff"
"7005602435","Doom","BSJ","Loss","7","6","9","2.67","711","664","340","6","22","22217","353","0","27790","Boots of Travel Shiva's Guard Black King Bar Octarine Core Refresher Orb Blink Dagger"
"7005602435","Queen of Pain","IAnnihilate","Loss","8","6","8","2.67","532","663","353","7","22","30053","842","0","18595","Kaya and Sange Black King Bar Bottle Power Treads Dust of Appearance Assault Cuirass"
"7005602435","Death Prophet","Fayde","Win","10","2","17","13.50","531","812","238","18","25","20502","7689","7502","20790","Wraith Band Guardian Greaves Magic Wand Shiva's Guard Black King Bar Pipe of Insight"
"7005602435","Disruptor","Shoe","Win","4","8","24","3.50","325","454","28","2","18","10086","458","0","10665","Force Staff Magic Wand Arcane Boots Aghanim's Scepter"
"7005602435","Broodmother","Jenkins","Loss","2","5","11","2.60","435","589","298","10","21","17012","6228","5117","16805","Guardian Greaves Soul Ring Scythe of Vyse Wraith Band Wraith Band Pipe of Insight"
"7005602435","Clockwerk","SoNiC","Loss","1","15","13","0.93","202","246","23","14","13","11658","0","0","7640","Boots of Speed Quelling Blade Magic Stick Force Staff Wind Lace Glimmer Cape"
"7005602435","Pangolier","tae","Win","11","4","21","8.00","575","821","431","10","25","29014","1886","0","18835","Energy Booster Linken's Sphere Boots of Travel Skull Basher Blink Dagger Diffusal Blade"
"7005602435","Tiny","卧龙凤雏不可兼得","Win","7","9","18","2.78","325","507","105","6","20","22027","2189","0","9690","Blink Dagger Force Staff Eul's Scepter of Divinity Tranquil Boots Magic Stick"
"7005602435","Nature's Prophet","Berna","Win","8","0","25","-","923","943","617","10","27","56371","15283","0","40330","Satanic Silver Edge Black King Bar Bloodthorn Gleipnir Linken's Sphere"
"7005602435","Rubick","Newsham","Loss","5","8","12","2.12","359","479","135","4","19","20572","423","0","11075","Aether Lens Null Talisman Boots of Speed  Blink Dagger Force Staff"
"7005506476","Lina","Satoshi-","Loss","2","7","2","0.57","463","561","234","3","17","8755","227","0","11810","Boots of Speed Magic Wand Falcon Blade Black King Bar Dragon Lance Maelstrom"
"7005506476","Tusk","islA","Win","10","4","9","4.75","421","458","104","13","15","15423","563","0","10520","Falcon Blade  Bracer Blink Dagger Magic Wand Black King Bar Phase Boots"
"7005506476","Dawnbreaker","DoubleKing","Win","7","0","15","-","643","750","275","9","19","18074","1002","3312","17450","Soul Ring Phase Boots Blink Dagger Black King Bar Desolator Magic Wand"
"7005506476","Crystal Maiden","Sanctified","Win","3","6","19","3.67","273","429","23","1","14","10053","296","0","6515","Force Staff Tranquil Boots Smoke of Deceit Magic Wand Sentry Ward Cloak"
"7005506476","Huskar","Mark","Win","9","2","10","9.50","636","749","226","9","19","19608","9081","0","16770","Boots of Speed Armlet of Mordiggian Magic Wand Heaven's Halberd Black King Bar Aghanim's Scepter"
"7005506476","Rubick","AfrOmoush","Win","6","1","16","22.00","327","478","54","1","15","14934","44","0","8870","Blink Dagger Wind Lace Aether Lens Magic Wand Tranquil Boots"
"7005506476","Ogre Magi","Ifrit","Loss","1","9","5","0.67","194","270","17","0","11","8532","0","0","5085","Magic Wand Sentry Ward Staff of Wizardry Tranquil Boots Smoke of Deceit Fluffy Hat"
"7005506476","Ember Spirit","EstroYER","Loss","6","6","4","1.67","391","409","129","4","14","23008","310","0","10640","Magic Wand Bottle Blade Mail Phase Boots Black King Bar Orb of Corrosion"
"7005506476","Pangolier","Rabish","Loss","2","4","5","1.75","405","522","153","5","16","11566","108","0","10825","Magic Wand Blink Dagger Diffusal Blade Arcane Boots Ring of Health Quelling Blade"
"7005506476","Snapfire","crawler","Loss","2","9","8","1.11","256","288","50","4","11","12419","112","0","6985","Infused Raindrops Arcane Boots Magic Wand Observer and Sentry Wards Force Staff"
"7005451900","Mars","Rabish","Loss","1","8","2","0.38","350","352","146","10","12","8459","0","0","8250","Magic Wand Blink Dagger Phase Boots Soul Ring Ogre Axe Bracer"
"7005451900","Death Prophet","Mark","Win","4","0","14","-","511","556","146","5","16","17760","8417","0","12410","Power Treads Wind Lace Magic Wand Blink Dagger Black King Bar Falcon Blade"
"7005451900","Crystal Maiden","Sanctified","Win","4","4","14","4.50","302","399","15","2","13","12964","775","0","7515","Force Staff Tranquil Boots Smoke of Deceit Magic Wand Observer and Sentry Wards Glimmer Cape"
"7005451900","Morphling","EstroYER","Loss","2","5","0","0.40","462","500","193","7","15","6119","3057","0","10570","Magic Wand Morbid Mask Manta Style Power Treads Dragon Lance Wraith Band"
"7005451900","Techies","crawler","Loss","2","6","5","1.17","206","310","45","1","11","13860","14","0","5295","Smoke of Deceit Magic Wand Observer and Sentry Wards Wind Lace Arcane Boots"
"7005451900","Lifestealer","DoubleKing","Win","10","0","11","-","638","650","200","9","17","15452","9523","1799","16975","Magic Wand Phase Boots Armlet of Mordiggian Black King Bar Desolator Orb of Venom"
"7005451900","Broodmother","islA","Win","4","2","10","7.00","530","541","151","4","16","17458","9638","0","12950","Orchid Malevolence Arcane Boots Black King Bar Orb of Corrosion Wraith Band Soul Ring"
"7005451900","Rubick","AfrOmoush","Win","7","2","12","9.50","435","626","75","0","17","12037","919","60","11075","Blink Dagger Aether Lens Tranquil Boots Magic Wand Wind Lace"
